Variable ID	Variable Description
phv00010081.v4.p8	DID YOUR FATHER EVER HAVE DIABETES MELLITUS
phv00024178.v1.p1	The presence or absence of diabetes in the subject's blood relatives as determined by clinician's interview.
phv00085316.v2.p3	FAMILY HISTORY OF STROKE: SIBLING
phv00160041.v1.p1	Mother diagnosed with hypertension, preeclampsia, or eclampsia.
phv00173167.v1.p1	Family history of breast cancer (sister or mother) reported at baseline
phv00004695.v1.p8	TYPE OF WHEEZING OR ASTHMA
phv00053673.v1.p1	Anorexia nervosa Diagnostic Confidence. (African American participants). DIGS4. Page 1
phv00080865.v1.p8	HISTORY OF DIABETES MELLITUS (200 mg/dl) AT EXAM 10
phv00156016.v1.p3	Breast Cancer Invasive
phv00164585.v2.p8	Physician diagnosed hypertension status at baseline (0/1)
phv00034247.v1.p1	If diabetic: father treated with insulin
phv00034254.v1.p1	Diabetic history of patient's relatives: oldest diabetic sibling used insulin
phv00160190.v1.p1	Mother received a full course of steroids prior to delivery.
phv00175949.v1.p3	FAMILY COHORT: ANY HYPERTENSION MEDICATION
phv00175952.v1.p3	FAMILY COHORT: ANY LIPID-LOWERING MEDICATION
phv00006468.v1.p8	CARDIOVASCULAR MEDICATIONS - DOSE OF BETA BLOCKER
phv00008811.v4.p8	ANALGESIC - NON-NARCOTICS (ACETAMINOPHEN, ETC.)
phv00010176.v4.p8	CARDIOVASCULAR MEDICATIONS: ANTI-ARRHYTHMICS (QUINIDINE, PROCAINAMIDE, AMIODARONE, SOTALOL DISOPYRAMIDE, ETC.)
phv00053906.v2.p1	YEARS EVER TAKEN ACETAMINOPHEN/TYLENOL (ALL PARTICIPANTS)
phv00086023.v2.p3	ANTI-ARRHYTHMICS, CLASS 1A
phv00010523.v4.p8	MMSE: DEPRESSION/POSSIBLE DEPRESSION (FACTORS POTENTIALLY AFFECTING MENTAL STATUS)
phv00022473.v4.p8	WHEN YOU ARE REALLY ANGRY OR ANNOYED, HOW LIKELY ARE YOU TO TALK TO A FRIEND OR RELATIVE? [ANGER-DISCUSS SCALE]
phv00028660.v1.p1	Distress caused by: other people being aware of your private thoughts
phv00177530.v1.p8	Clinical Diagnostic Impression: Anxiety
phv00196997.v1.p1	Fear of uncertainty facet of harm avoidance
phv00201211.v1.p8	Logical memory score, recognition
phv00081940.v1.p1	Additional Inclusion for unaffected sibling only: Is the participant 65 years of age or older?
phv00175958.v1.p3	FAMILY COHORT: INHALED STEROIDS FOR ASTHMA
phv00193995.v1.p1	Indicates whether participant has a sibling in same cohort
phv00193997.v1.p1	Indicates whether participant has a mother in same cohort
phv00193998.v1.p1	Indicates whether participant has a father in same cohort
phv00089657.v2.p3	Cohort study or case-control study
phv00173162.v1.p1	Case/control status
phv00196109.v1.p1	Case/control status for actinic keratosis
phv00200959.v1.p1	Case control status of the subject [CASE]
phv00201418.v1.p8	Random Control
phv00003733.v1.p8	FUNCTIONAL PERFORMANCE: TOILETING ACTIVITIES
phv00005938.v1.p8	ACTIVITIES OF DAILY LIVING-SELF REPORTED PERFORMANCE EATING FOOD AND DRINKING LIQUIDS
phv00006359.v1.p8	ACTIVITIES 1 - BATHING (INCLUDING GETTING IN AND OUT OF TUB AND SHOWER) SEE NOTE ABOVE
phv00006703.v1.p8	DURING THE COURSE OF A NORMAL DAY, CAN YOU DO THE FOLLOWING ACTIVITIES INDEPENDENTLY OR DO YOU NEED HUMAN ASSISTANCE OR THE USE OF A DEVICE (USE HIGHEST LEVEL OF DEPENDENCE): DRESSING (UNDRESSING AND REDRESSING)
phv00081140.v1.p1	Grooming ability
phv00008872.v4.p8	DOES YOUR SPOUSE SMOKE NOW?
phv00020953.v4.p8	IF YES TO G3A097: MOTHER SMOKED?
phv00083587.v1.p3	SMOKE - CHILDREN
phv00083821.v2.p3	SMOKE - SIBLING
phv00113243.v2.p2	DOES PT'S FATHER SMOKE CIGARETTES? Q2
phv00020928.v4.p8	IF EVER SMOKED CIGS REGULARLY: HOW MANY CIGARETTES DO YOU SMOKE PER DAY NOW?
phv00020948.v4.p8	IF EVER SMOKED CIGARS REGULARLY: HOW OLD WERE YOU WHEN YOU FIRST STARTED TO SMOKE CIGAR REGULARLY?
phv00056829.v2.p8	How much did you smoke during the 4 hours before you went to sleep last night? Number of pipe bowls
phv00072092.v3.p8	ON AVERAGE, SINCE YOUR LAST EXAM, HOW MANY CIGARETTES DID YOU SMOKE PER DAY?
phv00177304.v1.p8	Medical History-Smoking: How many cigarettes do you smoke per day now?
phv00001659.v1.p8	LIFETIME HISTORY OF A PERIPHERAL VASCULAR DISEASE: FAMILY HISTORY (PARENT, SIBLING, OFFSPRING) OF NONTRAUMATIC AMPUTATION OF LOWER EXTREMITY
phv00085317.v2.p3	FAMILY HISTORY AMPUTATION (NOT DUE TO INJURY): SIBLING
phv00000965.v1.p8	LIFETIME HISTORY OF DIABETES: TREATMENT OF DIABETES, EXAM 7
phv00005067.v1.p8	HEART SURGERY PROCEDURE-AORTIC
phv00005706.v1.p8	HEART AND VASCULAR PROCEDURES LOWER EXTREMITY AMPUTATION
phv00020899.v4.p8	HAVE YOU HAD A HYSTERECTOMY (UTERUS/WOMB REMOVED)?
phv00163400.v1.p1	Subject undergone bariatric surgery?
phv00164635.v2.p8	BASELINE ANGIOPLASTY STATUS (0/1)
phv00071681.v1.p1	First, please check all the ethnic backgrounds that apply to your paternal grandfather (that is, your father's father). East European, Slavic
phv00071692.v1.p1	First, please check all the ethnic backgrounds that apply to your paternal grandfather (that is, your father's father). African American, not of Hispanic Origin
phv00078677.v4.p3	Age natural mother died
phv00091423.v1.p1	AGE FIRST DIAGNOSED - BROTHER Q29N
phv00094557.v1.p1	AGE OF NATURAL FATHER Q25
phv00023691.v7.p8	WHAT IS YOUR CURRENT MARITAL STATUS? CHECK ONE - MARRIED
phv00072531.v3.p8	WHICH OF THE FOLLOWING BEST DESCRIBES YOU - RACE AFRICAN AMERICAN OR BLACK
phv00161302.v2.p2	European ancestry
phv00164567.v2.p8	Age in years at baseline
phv00201613.v1.p1	Subject age when sample collected
