Gold Standard Topic for substance	Gold Standard Topic for Start; Last Use; Withdrawal; amount	PhenID	Phen Description
marijuana		phv00162868.v1 	 Age recency of DSM4 marijuana dependence 
marijuana	Amount	phv00117151.v2 	 DAYS USED MARIJUANA: PAST 30 DAYS. Q 2 
marijuana		phv00022934.v1	Age when last used marijuana
marijuana		phv00114780.v2	USED MARIJUANA, PAST 24 HOURS
marijuana	Amount	phv00022902.v1	Using marijuana in larger amounts or over longer period than intended
marijuana	Amount	phv00120096.v2 	 DAYS USED MARIJUANA: PAST 30 DAYS. Q 2 
marijuana		phv00012617.v1	J14. Did your marijuana use ever cause you to have legal problems, such as arrests for disorderly conduct, possession or selling? (Participants with European ancestry). DIGS2
marijuana		phv00022900.v1	Tolerance to marijuana
marijuana	withdrawal	phv00162856.v1 	 Withdrawal from marijuana 
marijuana		phv00089094.v1 	 Marijuana/lifetime 
marijuana		phv00012600.v1 	 J4b. While using marijuana did you ever have any psychological problems, such as feeling depressed, feeling paranoid, having trouble thinking clearly, hearing or seeing or smelling things, or feeling jumpy? (IF YES:)  Specify: which problems, read appropriate sub questions to confirm response and code. Specify: feeling paranoid or suspicious of people for more than 24 hours to the point that it interfered with your relationships? (Participants with European ancestry). DIGS2 
marijuana	Amount	phv00022902.v1 	 Using marijuana in larger amounts or over longer period than intended 
marijuana		phv00114767.v2	EVER USED MARIJUANA (1=NO, 2=YES)
marijuana	Amount	phv00115763.v2 	 DAYS USED MARIJUANA: PAST 30 DAYS. Q 2 
marijuana	Amount	phv00117150.v2	TIMES USED MARIJUANA IN LIFE. Q 1
marijuana	withdrawal	phv00022901.v1 	 Withdrawal from marijuana 
marijuana	Start	phv00022909.v1 	 Age onset of DSM4 marijuana dependence 
marijuana		phv00012603.v1 	 J4e. While using marijuana did you ever have any psychological problems, such as feeling depressed, feeling paranoid, having trouble thinking clearly, hearing or seeing or smelling things, or feeling jumpy? (IF YES:) Specify: feeling jumpy or easily startled or nervous to the point that it interfered with your functioning? (Participants with European ancestry). DIGS2 
marijuana		phv00022934.v1 	 Age when last used marijuana 
marijuana 		phv00164993.v1 	 Marijuana Dependence 
marijuana; cocaine; opiate		phv00066584.v1 	 Has participant ever used drugs other than marijuana, cocaine or opiates? 
marijuana; cocaine; opiate	Start	phv00066589.v1 	 Age onset of DSM4 dependence on drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00066581.v1	Great amount of time spent in activities necessary to obtain, use or recover from the effects of drugs other than marijuana, cocaine or opiates
marijuana; cocaine; opiate		phv00066586.v1 	 Age when last used drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate	Start	phv00066585.v1 	 Age when first used drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00162910.v1 	 Age recency of DSM4 dependence on drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00066590.v1 	 Age recency of DSM4 dependence on drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00162904.v1 	 Has participant ever used drugs other than marijuana, cocaine or opiates? 
marijuana; cocaine; opiate		phv00066587.v1 	 Number of symptoms endorsed for drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00066583.v1 	 Use of drugs other than marijuana, cocaine or opiates despite knowledge of persistent or recurrent physical or psychological problems likely to have been caused or exacerbated by drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00162897.v1 	 Tolerance to drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate	Start	phv00066589.v1 	 Age onset of DSM4 dependence on drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00066586.v1 	 Age when last used drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiate		phv00162908.v1 	 DSM4 dependence on drugs other than marijuana, cocaine or opiates 
marijuana; cocaine; opiates	Start		Age onset of DSM4 dependence on drugs other than marijuana, cocaine or opiates
marijuana; cocaine; opiates		phv00066588.v1	DSM4 dependence on drugs other than marijuana, cocaine or opiates
marijuana; cocaine; opiates	Start	phv00066589.v1	Age onset of DSM4 dependence on drugs other than marijuana, cocaine or opiates
marijuana; cocaine; opiates		phv00066586.v1	Age when last used drugs other than marijuana, cocaine or opiates
marijunana	Amount	phv00118987.v2 	 DAYS USED MARIJUANA: PAST 30 DAYS. Q 2 
nicotine		phv00066362.v1 	 Tolerance to nicotine 
nicotine		phv00113208.v2 	 1985 FTC NICOTINE OF CURRENT BRAND 
nicotine		phv00162830.v1 	 Tolerance to nicotine 
nicotine	withdrawal	phv00066363.v1 	 Withdrawal from nicotine 
opiate		phv00162879.v1 	 Persistent desire or unsuccessful efforts to cut down or control opiates use 
opiate		phv00066437.v1 	 Gave up or reduced important social, occupational, or recreational activities because of opiate use 
opiate		phv00052777.v1 	 J44 Opiates, (African American participants). DIGS4 
opiate		phv00052736.v1	J37 Opiates, (African American participants). DIGS4
opiate		phv00052731.v1 	 J36 Opiates, (African American participants). DIGS4 
opiate		phv00066450.v1 	 DSM4 opiate dependence 
opiate		phv00053646.v1 	 Opiate Abuse/Depend Diagnostic Confidence. (African American participants). DIGS4. Page 1 
opiate		phv00066438.v1 	 Opiate use despite knowledge of persistent or recurrent physical or psychological problem likely to have been caused or exacerbated by opiates 
opiate		phv00018404.v1 	 J37. Opiates.  (Participants with European ancestry). DIGS4 
opiate		phv00119010.v2 	 WHICH OPIATE? MORPHINE. Q 10 
opiate		phv00066440.v1 	 Has participant ever used opiates? 
opiate	withdrawal	phv00066433.v1 	 Withdrawal from opiates 
opiate	Start	phv00066451.v1 	 Age onset of DSM4 opiate dependence 
opiate		phv00052736.v1 	 J37 Opiates, (African American participants). DIGS4 
opiate		phv00018430.v1 	 J41. Opiates.  (Participants with European ancestry). DIGS4 
opiate		phv00052787.v1 	 J46 Opiates, (African American participants). DIGS4 
opiate		phv00018480.v1	J49. Opiates.  (Participants with European ancestry). DIGS4
opiate		phv00053648.v1	Opiate Abuse/Depend Age last dep. (African American participants). DIGS4. Page 1
opiate		phv00066449.v1 	 Number of opiate symptoms endorsed 
opiate	Start	phv00162894.v1	Age onset of DSM4 opiate dependence
opiate		phv00052708.v1 	 J34b Opiates, (African American participants). DIGS4 
opiate		phv00052817.v1 	 J50 Opiates, (African American participants). DIGS4 
opiate		phv00052832.v1	J51b Opiates, (African American participants). DIGS4
opiate		phv00162881.v1 	 Gave up or reduced important social, occupational, or recreational activities because of opiate use 
opiate		phv00018490.v1	J51. Opiates.  (Participants with European ancestry). DIGS4
opiate		phv00018450.v1 	 J45. Opiates.  (Participants with European ancestry). DIGS4 
opiate;morphine		phv00120109.v2 	 WHICH OPIATE? MORPHINE. Q 9b 
opiate		phv00018445.v1 	 J44. Opiates.  (Participants with European ancestry). DIGS4 
opiate		phv00162884.v1 	 Number of opiate symptoms endorsed 
opiate		phv00018475.v1	J48b. Opiates.  (Participants with European ancestry). DIGS4
opiate		phv00066448.v1 	 Age when last used opiates 
opiate; dilaudid		phv00120108.v2 	 WHICH OPIATE? DILAUDID. Q 9b 
opiate		phv00018485.v1	J50. Opiates.  (Participants with European ancestry). DIGS4
opiate		phv00052797.v1 	 J47b Opiates, (African American participants). DIGS4 
opiate		phv00066449.v1 	 Number of opiate symptoms endorsed 
opiate		phv00120113.v2	OTHER TYPE OF OPIATE USED. Q 9b
opiate		phv00066450.v1 	 DSM4 opiate dependence 
opiate		phv00052844.v1 	 J53d Opiates, (African American participants). DIGS4 
opiate	withdrawal	phv00066433.v1 	 Withdrawal from opiates 
opiate		phv00066432.v1 	 Tolerance to opiates 
opiate	withdrawal	phv00066433.v1	Withdrawal from opiates
opiate		phv00066435.v1 	 Persistent desire or unsuccessful efforts to cut down or control opiates use 
opiate		phv00052827.v1	J51a Opiates, (African American participants). DIGS4
opiate		phv00052827.v1 	 J51a Opiates, (African American participants). DIGS4 
opiate; demerol		phv00120110.v2 	 WHICH OPIATE? DEMEROL. Q 9b 
opiate		phv00018440.v1 	 J43. Opiates.  (Participants with European ancestry). DIGS4 
opiate	Amount	phv00066434.v1 	 Using opiates in larger amounts or over longer period than intended 
opiate		phv00066432.v1 	 Tolerance to opiates 
opiate 		phv00018517.v1 	 J53d.  Opiates.  (Participants with European ancestry). DIGS4 
opiates		phv00066450.v1	DSM4 opiate dependence
opioid		phv00016079.v1 	 J53.e. Opioids Use Jumpy/Nervous, (Participants with European ancestry). DIGS3 
opioid		phv00044595.v1	Opiate Abuse/Dependence, age last dep., (Participants with European ancestry). DIGS4. Page1
opioid		phv00016089.v1 	 J54. Opioids Dangerous Behav, (Participants with European ancestry). DIGS3 
opioid		phv00016028.v1 	 J49.a. Opioids Use Continued, (Participants with European ancestry). DIGS3 
opioid		phv00016109.v1 	 J56. Opioids 2 Sx's >= 1 Mth, (Participants with European ancestry). DIGS3 
opioid	withdrawal	phv00016001.v1	J46.l. Opioids W/D Yawn, (Participants with European ancestry). DIGS3
opioid		phv00016104.v1 	 J55.b. Opioids Age Last 3 Sx's, (Participants with European ancestry). DIGS3 
opioid	withdrawal	phv00015983.v1	J46.e. Opioids W/D Appetite Chg, (Participants with European ancestry). DIGS3
opioid	Start	phv00016114.v1 	 J56.a. Opioids Age First 2 Sx's, (Participants with European ancestry). DIGS3 
opioid		phv00015948.v1 	 J43.a. Opioids - 50% More, (Participants with European ancestry). DIGS3 
opioid		phv00016053.v1 	 J53. Opioids Psych Problems, (Participants with European ancestry). DIGS3 
opioid 	withdrawal	phv00015989.v1 	 J46.g. Opioids W/D Sweat/Fever, (Participants with European ancestry). DIGS3 
stimlant		phv00053644.v1 	 Stimulant Abuse/Depend Age last dep. (African American participants). DIGS4. Page 1 
stimulant; concerta		phv00017407.v1 	 E6. Concerta. Stimulants.(Participants with European ancestry). DIGS4 
stimulant		phv00052755.v1 	 J41.0 Select stimulants, (African American participants). DIGS4 
stimulant		phv00052780.v1 	 J45 Stimulants, (African American participants). DIGS4 
stimulant		phv00015101.v1 	 E6. Stimulants Other Stimulant 1, (Participants with European ancestry). DIGS3 
stimulant		phv00017414.v1 	 E6. Other drug name. Stimulants. (Participants with European ancestry). DIGS4 
stimulant		phv00018448.v1	J45. Stimulants.  (Participants with European ancestry). DIGS4
stimulant		phv00052744.v1 	 J39 Stimulants, (African American participants). DIGS4 
stimulant		phv00044590.v1 	 Stimulant Abuse/Dependence, AAO (affective age of onset) , (Participants with European ancestry). DIGS4. Page1 
stimulant		phv00044588.v1 	 Stimulant Abuse/Dependence, (Participants with European ancestry). DIGS4. Page1 
stimulant		phv00052790.v1 	 J47 Stimulants, (African American participants). DIGS4 
stimulant		phv00052795.v1 	 J47b Stimulants, (African American participants). DIGS4 
stimulant		phv00018402.v1 	 J37. Stimulants.  (Participants with European ancestry). DIGS4 
stimulant		phv00018463.v1 	 J47b. Stimulants.  (Participants with European ancestry). DIGS4 
stimulant		phv00052706.v1 	 J34b Stimulants, (African American participants). DIGS4 
stimulant		phv00018458.v1 	 J47. Stimulants.  (Participants with European ancestry). DIGS4 
