GOLD STANDARD CATEGORY	PhenID	Phen Description
NIFEDIPINE 	phv00086053.v2 	 IMMEDIATE-RELEASE NIFEDIPINE 
Nitric Oxide	phv00123789.v1 	 Nitric Oxide: Ambient Air 
oleic acid	phv00126381.v1 	 LFFQ: MUFA 18:1 (oleic acid) (gm) 
Opiates	phv00018414.v1 	 J39. Opiates.  (Participants with European ancestry). DIGS4 
Opiates	phv00018419.v1 	 J40. Opiates.  (Participants with European ancestry). DIGS4 
Opiates	phv00018409.v1 	 J38. Opiates.  (Participants with European ancestry). DIGS4 
Opiates	phv00052792.v1 	 J47 Opiates, (African American participants). DIGS4 
Opiates	phv00052746.v1 	 J39 Opiates, (African American participants). DIGS4 
NIFEDIPINE 	phv00109022.v1 	 Slow-release nifedipine 
 verapamil	phv00087377.v1 	 SLOW-RELEASE VERAPAMIL 
 verapamil	phv00107434.v1 	 Slow-release verapamil 
Phosphatidylcholine	phv00166859.v2 	 Phosphatidylcholine (carbon:double bond = 36:3) 
prednisone	phv00071067.v2 	 Number of months from Baseline to first prednisone burst.  This is calculated by dividing the number of days between Baseline and the first prednisone burst by 30.25. 
 Probucol 	phv00109746.v1 	 Probucol 
 PROGESTIN	phv00085385.v2 	 PROGESTINS 
 PROGESTIN	phv00056983.v1 	 Progestins 
 PROGESTIN	phv00106334.v1 	 YEARS TOOK PROGESTIN IN PAST 
 PROGESTIN	phv00108755.v1 	 CURRENTLY TAKING PROGESTIN 
Progesterone	phv00077669.v3 	 Progesterone use last 2 years 
aspartame	phv00126541.v1 	 RECALL: aspartame 
calcium 	phv00126897.v1 	 RECALL: calcium 
leucine 	phv00126526.v1 	 RECALL: leucine 
vitamin E	phv00126973.v1 	 RECALL: vitamin E (International Units) 
pantothenic acid 	phv00126893.v1 	 RECALL: pantothenic acid 
folate 	phv00126966.v1 	 RECALL: synthetic folate 
Sedatives	phv00052801.v1 	 J48 Sedatives, (African American participants). DIGS4 
Sedatives	phv00052811.v1 	 J49 Sedatives, (African American participants). DIGS4 
MULTIVITAMINS 	phv00168306.v1 	 Prior to your recent stroke, did you ever regularly take multi-vitamins?  (DSF)  Aside from the VISP vitamin, have you regularly taken multi-vitamins during the past year? (FDS) 
SYMPATHOMIMETICS	phv00083148.v1 	 SYMPATHOMIMETICS, ORAL AND INHALED 
SYMPATHOMIMETICS	phv00087368.v1 	 SYMPATHOMIMETICS, ORAL AND INHALED 
Medication	phv00066841.v5 	 Description/Label for therapeutic subgroup - third drug in compound 
threonine	phv00126395.v1 	 LFFQ: threonine (gm) 
Thyroid stimulating hormone	phv00072913.v1 	 Tsh (Thyroid stimulating hormone) - Milli-International-Units (MIU) 
TRIAMTERENE 	phv00053882.v2 	 YEARS TAKING TRIAMTERENE (ALL PARTICIPANTS) 
 Tyrosine 	phv00161764.v1 	 Tyrosine 
 Valine 	phv00166798.v2 	 Valine 
Vitamin E	phv00098253.v1 	 VIT E:UNITS                         Q5E 
Vitamin E	phv00098385.v1 	 Vitamin E without vitamin pills mg 
ZINC	phv00119328.v2 	 FREQ (DAY/WEEK/MONTH) TAKEN (ZINC). Q 4 
ZINC	phv00098302.v1 	 ZINC :DOSE PER PILL                 QDE 
 AMLODIPINE 	phv00086941.v2 	 AMLODIPINE 
 AMLODIPINE 	phv00085335.v2 	 AMLODIPINE 
 AMLODIPINE 	phv00105021.v1 	 Amlodipine 
Biochanin A 	phv00156518.v2 	 Dietary Biochanin A (mg) 
paroxetine	phv00124520.v1 	 Time to start of paroxetine 
Rifaximin;Xifaxan	phv00090842.v1 	 Rifaximin (Xifaxan) 
sucrose polyester	phv00126680.v1 	 SFFQ: sucrose polyester (gm) 
(VITAMIN A	phv00120353.v2 	 NUMBER TAKEN (VITAMIN A). Q 2 
insulin	phv00029072.v1 	 Standard treatment  - previous day: type of insulin - pork 
glucose	phv00050038.v1 	 D4a. Treatment of clinical manifestation: given intravenous glucose treatment 
linolenic acid	phv00126239.v1 	 PUFA 18:3 (linolenic acid) (g) 
Serotonin specific reuptke inhibitors;Celexa 	phv00015028.v1 	 E6. Serotonin specific reuptke inhibitors (SSRIs. Celexa, (Participants with European ancestry). DIGS3 
 MEDICATION; RENIN-ANGIOTENSIN BLOCKING DRUGS; CAPTOPRIL;ENALAPRIL; LISINOPRIL 	phv00005584.v1 	 MEDICATION USE: RENIN-ANGIOTENSIN BLOCKING DRUGS (CAPTOPRIL, ENALAPRIL, LISINOPRIL) 
 MEDICATION; ANTICONVULSANTS; DILANTIN; PHENOBARB; TEGRETOL; MYSOLINE 	phv00004999.v1 	 MEDICATION USE: ANTICONVULSANTS (DILANTIN, PHENOBARB, TEGRETOL, MYSOLINE, ETC.) 
 MEDICATION; INSULIN 	phv00004981.v1 	 MEDICATION USE: INSULIN 
 MEDICATION; THYROID EXTRACT;DESSICATED THYROID 	phv00006150.v1 	 MEDICATION USE - THYROID EXTRACT (DESSICATED THYROID) 
 MEDICATION; ANTIULCER; TAGAMET; RANITIDINE; PROBANTHINE; H-ION INHIBITORS 	phv00004992.v1 	 MEDICATION USE: ANTIULCER (TAGAMET, RANITIDINE, PROBANTHINE, H-ION INHIBITORS) 
 Erectile dysfunction drugs 	phv00109004.v1 	 Erectile dysfunction drugs 
Opioids	phv00016038.v1 	 J50. Opioids Despite Objection, (Participants with European ancestry). DIGS3 
ANTICHOLINERGICS; BETA2-AGONIST	phv00086965.v2 	 ANTICHOLINERGICS + COMBINATION WITH BETA2-AGONIST (121200) 
 Antimaniac agents;Oth Antimanic Agt 1 Spec	phv00015111.v1 	 E6. Antimaniac agents Oth Antimanic Agt 1 Spec, (Participants with European ancestry). DIGS3 
Medication; antibacterial	phv00001251.v1 	 INTERIM HISTORY OF MEDICINE:  ANTIBACTERIAL 
Medication; hypocholesterol	phv00000954.v1 	 INTERIM HISTORY OF DRUGS TAKEN: HYPOCHOLESTEROL, EXAM 7 
Medication; Nitrites	phv00002220.v1 	 INTERIM HISTORY OF MEDICINE USED: NITRITES 
Medication; Nitrites	phv00001820.v1 	 INTERIM HISTORY OF MEDICINE USED: NITRITES 
Medication; Cardiac Glycosides	phv00002951.v1 	 INTERIM HISTORY OF MEDICINE USED: CARDIAC GLYCOSIDES 
Medication; hypoglycemics	phv00001445.v1 	 INTERIM HISTORY OF MEDICINE USED: HYPOGLYCEMIC AGENTS 
 Thyroid agents 	phv00056994.v1 	 Thyroid agents 
 IRON 	phv00112705.v2 	 IRON (MG) 
 IRON 	phv00008106.v3 	 IRON 
Supplemental Potassium	phv00079522.v3 	 Supplemental Potassium, mg 
Hydroxyurea; Procurement	phv00163806.v2 	 Was the Patient Exposed to Hydroxyurea Prior to Procurement? 
 Loop diuretics 	phv00055358.v2 	 Loop diuretics 
anticoagulants 	phv00107435.v1 	 Oral anticoagulants 
HYPOGLYCEMICS	phv00007335.v1 	 ORAL HYPOGLYCEMICS: UNKNOWN 
HYPOGLYCEMICS	phv00004621.v1 	 ORAL HYPOGLYCEMICS 
Progesterone suppositories	phv00077725.v3 	 Natural/Progest suppositories 
Medication	phv00014755.v1 	 B 5. Medication Weeks - 3, (Participants with European ancestry). DIGS3 
Medication	phv00158562.v1 	 Medication start period is estimated - coded fields 
 ANTI-PSYCHOTIC MEDICATIONS 	phv00086027.v2 	 ANTI-PSYCHOTIC MEDICATIONS 
