New Gold standard 05/27/14	Phen ID	Gold Standard topics
fell isolated from others	phv00086816.v2 	 HOW OFTEN DO YOU FEEL ISOLATED FROM OTHERS? 
enjoy life	phv00072807.v1 	 I am able to enjoy life 
 I DID NOT FEEL LIKE EATING; MY APPETITE WAS POOR 	phv00087419.v1 	 I DID NOT FEEL LIKE EATING; MY APPETITE WAS POOR 
 Idea should be punished for sins 	phv00089054.v1 	 Idea should be punished for sins 
 K11. Have you ever believed that another person was in love with you when there was no real reason to think so? Alcohol. (Participants with European ancestry). DIGS2 	phv00013455.v1 	 K11. Have you ever believed that another person was in love with you when there was no real reason to think so? Alcohol. (Participants with European ancestry). DIGS2 
 Loss of sexual interest/pleasure 	phv00088865.v1 	 Loss of sexual interest/pleasure 
 LOW SELF-ESTEEM/GUILT (Frequency) 	phv00089213.v1 	 LOW SELF-ESTEEM/GUILT (Frequency) 
 Others don't understand them/unsympathetic 	phv00088896.v1 	 Others don't understand them/unsympathetic 
Recognition	phv00053075.v1 	 P1e Recognizes thoughts are from within, (African American participants). DIGS4 
 Parental perceptions of disruptive behaviour - Father's coping 	phv00011413.v2 	 Parental perceptions of disruptive behaviour - Father's coping 
 Q12: RECENTLY EXPERIENCED UNUSUAL EVENT? 	phv00116450.v2 	 Q12: RECENTLY EXPERIENCED UNUSUAL EVENT? 
 SF-36 Role Emotional (RE) t-score (normalized) 	phv00169379.v1 	 SF-36 Role Emotional (RE) t-score (normalized) 
 STRONGLY DEFEND OWN OPINIONS. Q 47 	phv00113459.v2 	 STRONGLY DEFEND OWN OPINIONS. Q 47 
 Thinks things out before acting 	phv00011550.v2 	 Thinks things out before acting 
 WHEN FRUSTRATED, I WANT TO HIT    Q9 	phv00094628.v1 	 WHEN FRUSTRATED, I WANT TO HIT    Q9 
 WHERE DO YOU THINK YOU BELONG BETWEEN THESE TWO EXTREMES [BORTNER SCALE] 	phv00022319.v3 	 WHERE DO YOU THINK YOU BELONG BETWEEN THESE TWO EXTREMES [BORTNER SCALE] 
FELT UNCERTAIN, DISSATISFIED WITH WORK 	phv00002522.v1 	 WORKING PERSONS: FELT UNCERTAIN, DISSATISFIED WITH WORK 
Strength of Sex Driv	phv00016513.v1 	. Strength of Sex Drive
angry	phv00088752.v1 	angry
angry	phv00094638.v1 	angry
angry; annoyed	phv00022473.v3 	angry; annoyed
angry; annoyed; WHEN YOU ARE REALLY ANGRY OR ANNOYED, HOW LIKELY ARE YOU TO TRY TO ACT LIKE NOTHING HAPPENED? [ANGER-IN SCALE] 	phv00022467.v3 	angry; annoyed; WHEN YOU ARE REALLY ANGRY OR ANNOYED, HOW LIKELY ARE YOU TO TRY TO ACT LIKE NOTHING HAPPENED? [ANGER-IN SCALE] 
anxiety	phv00156255.v1 	anxiety
anxiety	phv00022537.v3 	anxiety
anxiety	phv00044638.v1 	anxiety
anxiety	phv00053698.v1 	anxiety
anxiety	phv00088955.v1 	anxiety
ANXIETY	phv00028594.v1 	ANXIETY
anxiety	phv00028611.v1 	anxiety
anxiety	phv00044641.v1 	anxiety
ANXIOUS	phv00016415.v1 	ANXIOUS
anxious	phv00053148.v1 	anxious
anxious; depression; fearful	phv00020690.v1 	anxious; depression; fearful
anxious; depression	phv00015717.v1 	anxious; feel depressed
belief;ideas	phv00036165.v1 	beliefs/ideas
calm; peaceful	phv00021268.v4 	calm; peaceful
concentration wanders; easily distracted	phv00011544.v2 	concentration wanders, easily distracted
confidence	phv00071357.v1 	confidence
Could you tell me if it is are true for you often, sometimes, rarely, or never?  	phv00071603.v1 	Could you tell me if it is are true for you often, sometimes, rarely, or never?  
creativeness	phv00114968.v2 	creativeness
delusion of thoughts or actions being controlled	phv00020158.v2 	delusion of thoughts or actions being controlled
depression; Have you ever felt as if you were outside your body , or as if part of your body did not belong to you? Depression	phv00013730.v1 	depression; Have you ever felt as if you were outside your body , or as if part of your body did not belong to you? Depression
depression?	phv00120419.v2 	depression?
depression?	phv00044547.v1 	depression?
dislike task required attention	phv00019328.v1 	dislike task required attention
depression; distress	phv00082262.v1 	distress
distress; Talks out of turn/interrupts 	phv00088448.v1 	distress
distress;Repeats certain actions/gets stuck on certain ideas 	phv00088430.v1 	distress
distress; feeling critical of others	phv00028631.v1 	distress; feeling critical of others
distress; overly silly; childish sense of humor	phv00088518.v1 	distress; overly silly; childish sense of humor
distress; worried about sloppiness or carelessness	phv00028635.v1 	distress; worried about sloppiness or carelessness
Do any of the "off" periods come on suddenly?", in the past week. 	phv00076081.v1 	Do any of the "off" periods come on suddenly?", in the past week. 
Do you usually get up feeling fit and rested in the morning? 	phv00020673.v1 	Do you usually get up feeling fit and rested in the morning? 
embarrassed	phv00021857.v3 	embarrassed
	phv00071414.v1 	Emotion
concentration;behaviour or being able to get on with other people	phv00011527.v2 	emotion; concentration;behaviour or being able to get on with other people
emotional intensity; unresponsiveness; inappropiateness	phv00013284.v1 	emotional intensity; unresponsiveness; inappropiateness
emotional problem;mental problem	phv00011978.v1 	emotional problem
emotional problem;mental problem	phv00011974.v1 	emotional problem?
engaged in any unusual behavior	phv00013612.v1 	engaged in any unusual behavior
excited	phv00013658.v1 	excited
excited;Do you like plenty of bustle and excitement around you?	phv00034814.v1 	excitement;Do you like plenty of bustle and excitement around you? 
F19. Did you tend to feel worse in the morning or in the evening or was there no difference?	phv00017509.v1 	F19. Did you tend to feel worse in the morning or in the evening or was there no difference?
fear	phv00035150.v1 	fear
fear	phv00053104.v1 	fear
fear	phv00035158.v1 	fear
fear	phv00120313.v2 	fear
fear	phv00020346.v1 	fear
fear	phv00034699.v1 	fear
fear	phv00006780.v1 	fear
fear	phv00011278.v2 	fear
fear	phv00034704.v1 	fear
fear of dying	phv00018987.v1 	fear of dying
fear of dying	phv00019001.v1 	fear of dying
fear; scare	phv00011519.v2 	fear; scare
fear; avoidance	phv00053150.v1 	fear; avoidance
fear;upset	phv00034689.v1 	fear;upset
feel better	phv00169430.v1 	feel better
depression	phv00005952.v1 	feel depressed
depression	phv00082926.v1 	feel depressed
depression	phv00021919.v1 	FEEL DEPRESSED
depression	phv00101680.v1 	feel depressed
depression	phv00099005.v1 	feel depressed
feel good; feel high; experience racing thoughts	phv00013806.v1 	feel good; feel high; experience racing thoughts
feel lonely	phv00005322.v1 	feel lonely
feel lonely	phv00103909.v1 	feel lonely
feel lonely	phv00005960.v1 	feel lonely
feel nervous; tense	phv00124758.v1 	feel nervous; tense
feel weak	phv00020677.v1 	feel weak
feeling (not emotion)	phv00168431.v1 	feeling (not emotion)
depression; feel paranoid; trouble thinking clearly, hearing, smelling, or seeing things, or feeling jumpy	phv00012773.v1 	feeling depressed, feeling paranoid, trouble thinking clearly, hearing, smelling, or seeing things, or feeling jumpy
depression; feel paranoid; trouble thinking clearly, hearing, smelling, or seeing things, or feeling jumpy	phv00012796.v1 	feeling depressed; feeling paranoid;trouble thinking clearly, hearing, smelling, or seeing things, or feeling jumpy? IF YES:) Specify: feeling jumpy or easily startled or nervous for more than 24 hours to the point that it interfered with your functioning?
feeling this way	phv00012395.v1 	feeling this way
guilty	phv00018770.v1 	guilty
guilty;worthless	phv00036137.v1 	guilty;worthless
happy	phv00116011.v2 	happy
HAPPY	phv00120315.v2 	HAPPY
happy	phv00022485.v3 	happy
have the feeling that the people around them are talking about them	phv00012919.v1 	have the feeling that the people around them are talking about them
Have things around you ever seemed unreal? As if you were in a dream?	phv00013738.v1 	Have things around you ever seemed unreal? As if you were in a dream?
Have you ever had any other thoughts or beliefs that others did not share or thought were odd, other than those we have just discussed?	phv00013501.v1 	Have you ever had any other thoughts or beliefs that others did not share or thought were odd, other than those we have just discussed?
Have you ever had any religious beliefs or experiences that other people didn't share	phv00013440.v1 	Have you ever had any religious beliefs or experiences that other people didn't share
Have you ever had the feeling that people could read your mind or know what you were thinking? 	phv00013475.v1 	Have you ever had the feeling that people could read your mind or know what you were thinking? 
hear people's voice whispering or talking of them	phv00012997.v1 	hear people's voice whispering or talking of them
hear thoughts repeated or echoed	phv00013538.v1 	hear thoughts repeated or echoed
hopeful;  I FELT HOPEFUL ABOUT THE FUTURE	phv00010593.v3 	hopeful;  CESD: I FELT HOPEFUL ABOUT THE FUTURE. SEE NOTE ABOVE 
HOUSE WORK OFTEN STAYED ON MIND ALL DAY	phv00008537.v3 	HOUSE WORK OFTEN STAYED ON MIND ALL DAY
HOW DO YOU FEEL ABOUT THE FOLLOWING STATEMENT: ON MY JOB, I HAVE VERY LITTLE FREEDOM TO DECIDE HOW I DO MY WORK? [DECISION AUTHORITY SCALE] 	phv00022377.v3 	HOW DO YOU FEEL ABOUT THE FOLLOWING STATEMENT: ON MY JOB, I HAVE VERY LITTLE FREEDOM TO DECIDE HOW I DO MY WORK? [DECISION AUTHORITY SCALE] 
I THOUGHT MY LIFE HAD BEEN A FAILURE 	phv00005955.v1 	I THOUGHT MY LIFE HAD BEEN A FAILURE 
introversion	phv00016383.v1 	introversion
less interested in things; less able to enjoy sex; less aboe to enjoy other pleasant activities	phv00012069.v1 	less interested in things; less able to enjoy sex; less aboe to enjoy other pleasant activities
lose consciousness	phv00011707.v1 	lose consciousness
LOSS OF CONSCIOUSNESS 	phv00005710.v1 	LOSS OF CONSCIOUSNESS 
loss of interest	phv00018074.v1 	loss of interest
lost consciousness	phv00006554.v1 	lost consciousness
memory	phv00025314.v1 	memory
memory	phv00024920.v1 	memory
memory	phv00024921.v1 	memory
memory	phv00082438.v1 	memory
MOOD	phv00016525.v1 	MOOD
nervous; restless	phv00087395.v1 	nervous; restless
nervous; restless	phv00086344.v2 	nervous; restless
not own thoughts	phv00036178.v1 	not own thoughts
Now I would like to ask you about the year after your psychotic symptoms stopped. During that time did you have unusual beliefs or magical thinking (e.g., superstitiousness, belief in clairvoyance, telepathy, sixth sense, feeling that others can feel my feelings), have ideas that were not quite true, think others were referring to you when they really were not? RESIDUAL PERIOD.	phv00013787.v1 	Now I would like to ask you about the year after your psychotic symptoms stopped. During that time did you have unusual beliefs or magical thinking (e.g., superstitiousness, belief in clairvoyance, telepathy, sixth sense, feeling that others can feel my feelings), have ideas that were not quite true, think others were referring to you when they really were not? RESIDUAL PERIOD.
odd emotion	phv00016261.v1 	odd emotion
oppositional behavior; expressing spitefulness	phv00011405.v2 	oppositional behavior; expressing spitefulness
out of your head; shaky; feel frightened; feel nervous	phv00012546.v1 	out of your head; shaky; feel frightened; feel nervous
POOR RATING ON GOOD WORK	phv00094629.v1 	POOR RATING ON GOOD WORK
positive thought	phv00013641.v1 	positive thought
recognition event	phv00051454.v1 	recognition event
recognition of event	phv00051095.v1 	recognition of event
recognition of event	phv00051420.v1 	recognition of event
recognition of event	phv00051100.v1 	recognition of event
remember	phv00102999.v1 	remember
remember	phv00115317.v2 	remember
remember	phv00010870.v1 	remember
REMEMBER	phv00072590.v1 	REMEMBER
remember	phv00011025.v4 	remember
remember	phv00104528.v1 	remember
REMEMBER	phv00110574.v1 	REMEMBER
remember	phv00072608.v2 	remember
remember	phv00102197.v1 	remember
remember;  Forgets to do things/remembers when prompted or too late - Frequency 	phv00088511.v1 	remember;  Forgets to do things/remembers when prompted or too late - Frequency 
	phv00013046.v1 	response
satisfication	phv00124798.v1 	satisfication
satisfication	phv00088288.v1 	satisfication
satisfication	phv00127590.v1 	satisfication
think gunk	phv00061692.v2 	think gunk
think gunk	phv00061923.v2 	think gunk
think gunk	phv00061493.v2 	think gunk
think gunk	phv00061859.v2 	think gunk
think gunk	phv00062051.v2 	think gunk
think gunk	phv00058965.v2 	think gunk
think gunk	phv00061077.v2 	think gunk
think gunk	phv00064508.v2 	think gunk
think gunk	phv00060380.v2 	think gunk
THINK GUNK	phv00062652.v2 	THINK GUNK
THINK GUNK	phv00059381.v2 	THINK GUNK
think gunk	phv00060515.v2 	think gunk
think gunk	phv00059740.v2 	think gunk
think gunk	phv00063868.v2 	think gunk
think gunk	phv00060476.v2 	think gunk
think gunk	phv00064355.v2 	think gunk
think gunk	phv00064469.v2 	think gunk
think gunk	phv00064003.v2 	think gunk
think gunk	phv00059900.v2 	think gunk
thinking gunk	phv00060828.v2 	thinking gunk
thinking gunk	phv00059811.v2 	thinking gunk
thinking gunk	phv00059715.v2 	thinking gunk
thinking gunk	phv00062588.v2 	thinking gunk
thinking gunk	phv00059203.v2 	thinking gunk
THINKING GUNK	phv00060060.v2 	THINKING GUNK
Thinking gunk	phv00058396.v2 	Thinking gunk
thinking gunk	phv00063363.v2 	thinking gunk
very moody	phv00052595.v1 	very moody
voices that converse with each other and/or comment on the subject's thoughts or behavior 	phv00071366.v1 	voices that converse with each other and/or comment on the subject's thoughts or behavior 
WORN OUT	phv00022759.v3 	WORN OUT
worried after an embarrassing experience	phv00034802.v1 	worried after an embarrassing experience
worried; anxious	phv00034664.v1 	worried; anxious
WORRIED; ANXIOUS; RESTLESS	phv00054430.v1 	WORRIED; ANXIOUS; RESTLESS
