PhenID	StudyID	DataSetID	DataSet Name	PhenName	PhenDescription					PhenNorm	Theme	ThemePCN	ThemeCUI	ThemeSTT	TopicPCN	Topic CUI	Topic STT	SOI	SOI CUIs	SOI STT	Category
phv00112543.v2 	 phs000285.v2.p2 	 pht001561.v2 	 A4F03 	 A03LVPAR 	 PARENTS LIVE WITH YOU. Q 15a 	 encoded 	 NONE 	 NONE 	 NONE 	 parents live with you  q 15 a 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 parent 	 C0030551 	 famg	
phv00083199.v1 	 phs000209.v10.p2 	 pht001111.v3 	 MESA_AirNRExamMain 	 naothex1 	 SEE OTHER PEOPLE EXERCISE IN NEIGHBORHOOD 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 see other people exercise in neighborhood 	 NULL 	 NULL 	 NULL 	 NULL 	 vision;exercise;exercise pain management 	 C0042789;C0015259;C1522704 	 orgf;dora;topp 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure;Daily or Recreational Activity
phv00028419.v1 	 phs000086.v2.p1 	 pht000237.v1 	 DCCT_m9exhpcs 	 R_STD 	 Event rate while on standard 	 float 	 EVENTS ON STANDARD 	 NONE 	 NONE 	 event rate while on standard 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00142709.v3 	 phs000209.v10.p2 	 pht002100.v3 	 MESA_AncilMesaLungExam1CT 	 B_be_810 	 BOTH LUNGS: NUMBER VOXELS BELOW OR EQUAL TO -810 HOUNSFIELD UNITS 	 Numeric 	 HU 	 NONE 	 NONE 	 both lungs  number voxels below or equal to 810  hounsfield units 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00168679.v1 	 phs000343.v2.p1 	 pht002719.v1 	 dct 	 DCT4FUT 	 Date of death 	 :decimal 	 Days 	2.04	803.76	 date of death 	 NULL 	 NULL 	 NULL 	 NULL 	 date fruit;cessation of life;death (finding) 	 C2348077;C0011065;C1306577 	 food;orgf;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00174496.v1 	 phs000565.v1.p1 	 pht003075.v1 	 RHD_Sample 	 SAMPLE_USE 	 Use of subject's samples 	 NONE 	 NONE 	 NONE 	 NONE 	 use of subject s samples 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00011668.v1 	 phs000017.v3.p1 	 pht000056.v1 	 EA_DIGS2_Data 	 I910 	 B3c3. Have you had any of the following conditions: ulcers or other bowel diseases? If yes: ulcerative colitis. (Participants with European ancestry). DIGS2 	 NONE 	 NONE 	 NONE 	 NONE 	 b3c3   have you had any of the following conditions  ulcers or other bowel diseases  if yes  ulcerative colitis   participants with european ancestry   digs2 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 ulcer;intestinal diseases;ulcerative colitis 	 C0041582;C0021831;C0009324 	 patf;dsyn;dsyn 	 participant 	 C0679646 	 popg	Demographics Patient;Medical History
phv00077439.v3 	 phs000200.v8.p2 	 pht000988.v3 	 ecg_rel1 	 MINVENT 	 Minor ventricular conduction aberrations 	 encoded value 	 NONE 	 NONE 	 NONE 	 minor ventricular conduction aberrations 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00080824.v1 	 phs000007.v18.p7 	 pht000040.v4 	 dbt0_27s 	 RX7 	 CURRENT TREATMENT FOR DIABETES EXAM 7 	 encoded 	 NONE 	 NONE 	 NONE 	 current treatment for diabetes exam 7 	 NULL 	 NULL 	 NULL 	 NULL 	 current therapy;diabetes;medical examination;diabetes mellitus 	 C2827774;C0011847;C0582103;C0011849 	 topp;dsyn;hlca;dsyn 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure;Medical History
phv00054815.v1 	 phs000007.v18.p7 	 pht000390.v2 	 eye0_1975s 	 E153 	" DEFINITIVE EXAM: CATARACT SUSPECTS: LENS EXAMINATION, O.D., BLANK = DOES NOT MEET REFERRAL CRITERIA FOR CATARACT (1036) "	 NONE 	 NONE 	 NONE 	 NONE 	 definitive exam  cataract suspects  lens examination  o d   blank = does not meet referral criteria for cataract  1036 	 NULL 	 NULL 	 NULL 	 NULL 	 medical examination;cataract;physical examination;blank;meetings;patient referral 	 C0582103;C0086543;C0031809;C0750479;C0556656;C0034927 	 hlca;anab;hlca;fndg;hlca;hlca 	 study subject 	 C0681850 	 grup	Medical History
phv00022696.v3 	 phs000007.v18.p7 	 pht000106.v4 	 pft1_7s 	 FF2_7_1 	 FORCED EXPIRATORY FLOW AT 50% OF FVC (LIT./SEC.) - BEST EFFORT 	 NONE 	 LIT./SEC. 	 NONE 	 NONE 	 forced expiratory flow at 50% of forced vital capacity  lit /sec   best effort 	 NULL 	 NULL 	 NULL 	 NULL 	 exertion;vital capacity test;capacity.vital.forced:volume:point in time:respiratory system:quantitative 	 C0015264;C0430511;C0802685 	 orgf;diap;clna 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00015477.v1 	 phs000017.v3.p1 	 pht000057.v1 	 EA_DIGS3_Data 	 OTH_MANIA_DELUSIONS 	" G44. Oth Mania Delusions, (Participants with European ancestry). DIGS3 "	 NONE 	 NONE 	 NONE 	 NONE 	 g44   oth mania delusions   participants with european ancestry   digs3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 manic;delusions 	 C0338831;C0011253 	 mobd;mobd 	 participant 	 C0679646 	 popg	Demographics Patient;Medical History
phv00170776.v1 	 phs000200.v8.p2 	 pht002773.v1 	 spec_draws_rel2 	 DRAWVY 	 Specimen Draw Visit Year 	 integer 	 NONE 	0	6	 specimen draw visit year 	 NULL 	 NULL 	 NULL 	 NULL 	 health care visit 	 C1512346 	 inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter
phv00044686.v1 	 phs000125.v1.p1 	 pht000320.v1 	 COGA_SSAGA 	 DM5_YR 	 What is your birth year?  - Note: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 	 integer 	 BIRTH YEAR 	 NONE 	 NONE 	 what is your birth year  note  the data values for this variable represent harmonized values  they were derived from information obtained with sections a and e of the ssagai and ssagaii questionnaires 	 Age 	 birth year 	 C2826771 	 tmco 	 division (surgical procedure) 	 C1293097 	 topp 	 study subject 	 C0681850 	 grup	Demographics Patient;Therapeutic or Preventive Procedure
phv00026899.v1 	 phs000086.v2.p1 	 pht000220.v1 	 DCCT_ms12expt 	 HDL 	" HDL cholesterol (serum, mg/dl, form 023c) "	 int 	 MG/DL 	 NONE 	 NONE 	 high-density lipoprotein cholesterol  serum  mg/dl  form 023 c 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00011775.v1 	 phs000017.v3.p1 	 pht000056.v1 	 EA_DIGS2_Data 	 I1580 	" C5c. Now I am going to ask you to perform some quick tasks. Language. Ask the subject to follow a three- stage command. (E.g., Take a paper in your right hand, fold it in half, and put it on the floor.) Score three points. MAXIMUM SCORE=3; SUBJECT SCORE. (Participants with European ancestry). DIGS2 "	 NONE 	 Subject score 	 NONE 	 NONE 	 c5 c  now i am going to ask you to perform some quick tasks  language  ask the subject to follow a three stage command   e gram   take a paper in your right hand  fold it in half  and put it on the floor   score three points  maximum score=3  subject score   participants with european ancestry   digs2 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 perform;language:-:point in time:^patient:-;tumor stage 	 C2947996;C2706915;C1300072 	 phsu;clna;clna 	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient
phv00167114.v2 	 phs000007.v18.p7 	 pht002572.v2 	 t_echo_2008_m_0549s 	 LVWANT 	 LV (Left Ventricular) REGIONAL WMA (Wall Motion Abnormality): Anterior 	 NONE 	 NONE 	 NONE 	 NONE 	 left ventricular  left ventricular  regional wall motion abnormality  wall motion abnormality   anterior 	 NULL 	 NULL 	 NULL 	 NULL 	 left ventricular wall motion abnormality 	 C1997551 	 fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00003299.v1 	 phs000007.v18.p7 	 pht000020.v3 	 ex0_18s 	 FK43 	 NEGOTIATING ONE FLIGHT OF STAIRS 	 NONE 	 NONE 	 NONE 	 NONE 	 negotiating one flight of stairs 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00121622.v2 	 phs000285.v2.p2 	 pht001871.v2 	 YM106 	 Y01STKSA 	 SAH BASED ON SACCULAR ANEURISM AND LUMBAR PUNCTURE NOT DONE 	 encoded 	 NONE 	 NONE 	 NONE 	 sah based on saccular aneurism and lumbar puncture not done 	 NULL 	 NULL 	 NULL 	 NULL 	 saccular aneurysm;spinal puncture;diagnostic lumbar puncture;consent type - lumbar puncture 	 C2713497;C0037943;C0553794;C1548878 	" dsyn;diap,topp;diap;hlca "	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure;Diagnostic Procedure;Medical History
phv00023866.v2 	 phs000007.v18.p7 	 pht000168.v3 	 bmd0_2009s 	 f24trbmd 	" Femoral trochanteric BMD, Exam 24 "	" decimal, encoded "	 g/cm2 	0.28	1.57	 femoral trochanteric bone mineral density  exam 24 	 NULL 	 NULL 	 NULL 	 NULL 	 bone density;medical examination;bone mineral density test 	 C0005938;C0582103;C0177804 	 clna;hlca;diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00173822.v1 	 phs000235.v4.p1 	 pht002978.v1 	 CGCI_NHL_DLBCL_Subject_Phenotypes 	 Status last follow-up (alive/dead) 	 Status at last follow-up 	 NONE 	 NONE 	 NONE 	 NONE 	 status at last follow up 	 NULL 	 NULL 	 NULL 	 NULL 	 follow-up status;follow-up 	 C0589120;C1522577 	 fndg;hlca 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Medical History
phv00003044.v1 	 phs000007.v18.p7 	 pht000019.v3 	 ex0_17s 	 FJ110 	 CVA SINCE LAST EXAM: LOSS OF VISION 	 NONE 	 NONE 	 NONE 	 NONE 	 cerebral vascular accident since last exam  loss of vision 	 NULL 	 NULL 	 NULL 	 NULL 	 cerebrovascular accident;medical examination;vision;vision:-:point in time:^patient:- 	 C0038454;C0582103;C0042789;C2707266 	 dsyn;hlca;orgf;clna 	 study subject 	 C0681850 	 grup	Medical History
phv00018599.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V1571 	 K27.  Olfactory.  (Participants with European ancestry). DIGS4 	 NONE 	 NONE 	 NONE 	 NONE 	 k27   olfactory   participants with european ancestry   diagnostic interview for genetic studies 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 smell perception;olfactory;diagnosis;genetic study 	 C0037361;C0439826;C0011900;C2827447 	 orgf;orgf;fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes;Medical History
phv00160955.v1 	 phs000209.v10.p2 	 pht002195.v2 	 MESA_Exam1ECGContiWaveform 	 brpiv41 	" R' Intrisicoid (Time from Q Onset to Peak of R'), Lead V4 (mSec) "	 NUMERIC 	 msec 	 NONE 	 NONE 	 r  intrisicoid  time from q started to peak of r    lead v4 m sec 	 NULL 	 NULL 	 NULL 	 NULL 	" r prime;lead;plumbum metallicum, homeopathic preparation "	 C2603358;C0023175;C1442948 	" clna;elii,hops;inch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History
phv00121144.v2 	 phs000285.v2.p2 	 pht001865.v2 	 F4F44 	 F44RWRKF 	 RACE DISCRIMINATED AT WORK? Q 4d 	 encoded 	 NONE 	 NONE 	 NONE 	 race discriminated at work  q 4d 	 Race 	 racial group 	 C0034510 	 popg 	  	  	  	 study subject 	 C0681850 	 grup	Demographics Patient
phv00050013.v1 	 phs000086.v2.p1 	 pht000333.v1 	 EDIC_f0423 	 DBA5B 	 A5b. Date of event uncertain 	 byte 	 NONE 	 NONE 	 NONE 	 a5 b  date of event uncertain 	 NULL 	 NULL 	 NULL 	 NULL 	 date fruit 	 C2348077 	 food 	 study subject 	 C0681850 	 grup	
phv00122987.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 ICDCODE6 	 Reason for death 6 (icd9code) 	 string 	 NONE 	 NONE 	 NONE 	 reason for death 6  icd9code 	 NULL 	 NULL 	 NULL 	 NULL 	 cessation of life;death (finding) 	 C0011065;C1306577 	 orgf;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00118026.v2 	 phs000285.v2.p2 	 pht001754.v2 	 E1EBCT 	 ER2PIX5 	 CALCIFICATION USING 5-PIXEL CUTPOINT 	 string 	 NONE 	 NONE 	 NONE 	 calcification using 5pixel cutpoint 	 NULL 	 NULL 	 NULL 	 NULL 	 calcification 	 C1533591 	 fndg 	 study subject 	 C0681850 	 grup	
phv00030274.v1 	 phs000086.v2.p1 	 pht000248.v1 	 DCCT_ms3exprt 	 NPH2PFLG 	" Any occurrence of persistent nephropathy level 2 (0=no,1=yes) "	 byte 	 NONE 	 NONE 	 NONE 	 any occurrence of persistent nephropathy level 2  0=no 1=yes 	 NULL 	 NULL 	 NULL 	 NULL 	 kidney diseases 	 C0022658 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00143469.v3 	 phs000209.v10.p2 	 pht002100.v3 	 MESA_AncilMesaLungExam1CT 	 R_mean 	 RIGHT LUNG: AVERAGE PIXEL VALUES WITHIN LUNG REGION (HU) 	 Numeric 	 HU 	 NONE 	 NONE 	 right lung  average pixel values within lung region  hounsfield unit 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00143021.v3 	 phs000209.v10.p2 	 pht002100.v3 	 MESA_AncilMesaLungExam1CT 	 LLC_var 	" LEFT LUNG, LOWER CORE: VARIANCE OF PIXEL VALUES WITHIN LUNG REGION "	 Numeric 	 NONE 	 NONE 	 NONE 	 left lung  lower core  variance of pixel values within lung region 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00127366.v1 	 phs000286.v3.p1 	 pht001954.v1 	 ECGA 	 ecga247 	 T_xAVF - T-+ in lead AVF 	 encoded 	 NONE 	 NONE 	 NONE 	 t_xavf t+ in lead exploring electrode located at the left foot 	 NULL 	 NULL 	 NULL 	 NULL 	" t prime;lead;plumbum metallicum, homeopathic preparation "	 C2603360;C0023175;C1442948 	" clna;elii,hops;inch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History
phv00026546.v1 	 phs000086.v2.p1 	 pht000216.v1 	 DCCT_f0051 	 OEB4F 	 Gastroparesis: vomiting 	 NONE 	 NONE 	 NONE 	 NONE 	 gastroparesis  vomiting 	 NULL 	 NULL 	 NULL 	 NULL 	 gastroparesis;vomiting;vomiting adverse event 	 C0152020;C0042963;C1963281 	 dsyn;sosy;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00016000.v1 	 phs000017.v3.p1 	 pht000057.v1 	 EA_DIGS3_Data 	 MISC_W_D_MUSCLE_ACHES 	" J46.k. Misc W/D Muscle Aches, (Participants with European ancestry). DIGS3 "	 NONE 	 NONE 	 NONE 	 NONE 	 j46  k  misc w/d muscle aches   participants with european ancestry   digs3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 ache 	 C0234238 	 sosy 	 participant 	 C0679646 	 popg	Demographics Patient;Medical History
phv00052694.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V1332 	" J33c Longest daily use, (African American participants). DIGS4 "	 NONE 	 Days 	 NONE 	 NONE 	 j33 c longest daily use   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00104475.v1 	 phs000287.v2.p1 	 pht001489.v1 	 YR4 	 SMM 	 TODAY'S DATE MONTH 3MSE Score Component 	 encoded 	 NONE 	 NONE 	 NONE 	 today s date month modified mini-mental state examination score component 	 NULL 	 NULL 	 NULL 	 NULL 	 mini-mental state examination score;date fruit 	 C2960235;C2348077 	 fndg;food 	 study subject 	 C0681850 	 grup	
phv00025138.v1 	 phs000086.v2.p1 	 pht000212.v1 	 DCCT_ms7exf10 	 QV00_R76 	 Finger tapping -  dominant/non-dominant hand - summary mean rates (quarterly visit 00) 	 float 	 AVERAGE RATE/10 SECONDS 	 NONE 	 NONE 	 finger tapping dominant/non dominant hand summary mean rates  quarterly visit 00 	 NULL 	 NULL 	 NULL 	 NULL 	 finger tapping;summary:finding:point in time:{setting}^population:document:{provider};health care visit 	 C0870564;C2360088;C1512346 	 orgf;clna;inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Medical History
phv00013441.v1 	 phs000017.v3.p1 	 pht000056.v1 	 EA_DIGS2_Data 	 I11360 	" K9. Have you ever had any religious beliefs or experiences that other people didn't share? (If yes, tell me about that). Alcohol. (Participants with European ancestry). DIGS2 "	 NONE 	 NONE 	 NONE 	 NONE 	 k9  have you ever had any religious beliefs or experiences that other people didn t share   if yes  tell medical examiner about that   alcohol   participants with european ancestry   digs2 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 experience;alcohols;alcohol measurement 	 C0596545;C0001975;C0202304 	" menp;orch,phsu;lbpr "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Lab Tests Patient;Mental or Emotional Finding;Drinking History
phv00165492.v1 	 phs000095.v2.p1 	 pht002546.v1 	 MARAZITA_USCohort_DentalCariesPhenotypeDS 	 Prim_fs 	 Total Primary Filled Surfaces. 	" integer, encoded integer "	 NONE 	0	22	 total primary filled surfaces 	 NULL 	 NULL 	 NULL 	 NULL 	 primary operation 	 C0439631 	 topp 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure
phv00053481.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V0164_0_WEEKS 	" B6 Duration (row 0), (African American participants). DIGS4 "	 NONE 	 Weeks 	 NONE 	 NONE 	 b6 duration  row 0    african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 diagnosis;duration;genetic study 	 C0011900;C2926735;C2827447 	 fndg;phsu;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00127157.v1 	 phs000286.v3.p1 	 pht001954.v1 	 ECGA 	 ecga38 	" M9X3 - Low QRS amplitude (93X codes, the preceding 9 and 3 are not shown when a code is present) "	 encoded 	 NONE 	 NONE 	 NONE 	 m9x3  low qrs amplitude 93 kienbock s unit codes  the preceding 9 and 3 are not shown when a code is present 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00005883.v1 	 phs000007.v18.p7 	 pht000025.v4 	 ex0_23s 	 FP418 	" ECG: LEFT VENTRICULAR HYPERTROPHY CRITERIA R OR S>=30MM, (R IN V5 OR V6) OR (S IN V1 OR V2) "	 NONE 	 NONE 	 NONE 	 NONE 	 electrocardiogram  left ventricular hypertrophy criteria r or s>=30mm   r in v5 or v6  or  s in v1 or v2 	 NULL 	 NULL 	 NULL 	 NULL 	 electrocardiogram;left ventricular hypertrophy;r prime;electrocardiography;v1 stage;v2 stage 	 C0013798;C0149721;C2603358;C1623258;C0457422;C0457423 	 fndg;dsyn;clna;diap;fndg;fndg 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00031146.v1 	 phs000086.v2.p1 	 pht000262.v1 	 DCCT_f028one 	 BHRRVAR 	 RR variation x 1000 	 float 	 RR VARIATION x 1000 	 NONE 	 NONE 	 respiration rate variation kienbock s unit 1000 	 NULL 	 NULL 	 NULL 	 NULL 	 respiratory rate 	 C0231832 	 clna 	 study subject 	 C0681850 	 grup	Clinical Attributes
phv00144349.v3 	 phs000209.v10.p2 	 pht002100.v3 	 MESA_AncilMesaLungExam1CT 	 RC_850_cutoff_hu 	" RIGHT LUNG, CORE 850: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE "	 Numeric 	 NONE 	 NONE 	 NONE 	 right lung  core 850   definition of highest non hole hounsfield unit value 	 NULL 	 NULL 	 NULL 	 NULL 	 hole finding 	 C0544726 	 fndg 	 study subject 	 C0681850 	 grup	
phv00091206.v2 	 phs000262.v2.p1 	 pht001281.v2 	 HMP_Gut_Ulcerative_Colitis_Pouchitis_Intitial 	 Year Non-GI Lympho 	 Year of diagnosis of non-GI lymphoproliferative disorder 	 Integar 	 Year 	 NONE 	 NONE 	 year of diagnosis of non gastrointestinal lymphoproliferative disorder 	 NULL 	 NULL 	 NULL 	 NULL 	 diagnosis;diagnosis study;lymphoproliferative disorders;adverse event associated with the gastrointestinal system;gastrointestinal:-:point in time:^patient:- 	 C0011900;C1704656;C0024314;C1559265;C2707256 	 fndg;resa;neop;fndg;clna 	 study subject 	 C0681850 	 grup	Research Attributes;Medical History
phv00051129.v1 	 phs000086.v2.p1 	 pht000343.v1 	 EDIC_f0913 	 IAC5RES2 	 C5. Diagnostic tests performed. Result of test 2 	 byte 	 NONE 	 NONE 	 NONE 	 c5  diagnostic tests performed  result of test 2 	 NULL 	 NULL 	 NULL 	 NULL 	 diagnostic tests;laboratory procedures;experimental result 	 C0086143;C0022885;C2825142 	 diap;lbpr;fndg 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Diagnostic Procedure
phv00057382.v1 	 phs000007.v18.p7 	 pht000397.v2 	 sleep1_2003s 	 avdnoa3 	 Average desaturation in NREM (Other position) 3% desaturation or arousal 	 NONE 	 NONE 	 NONE 	 NONE 	 average desaturation in non-rapid eye movement  other position  3% desaturation or arousal 	 NULL 	 NULL 	 NULL 	 NULL 	 others;arousal 	 C1955473;C0003808 	 fndg;menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding
phv00057265.v1 	 phs000007.v18.p7 	 pht000397.v2 	 sleep1_2003s 	 mndnba2 	 Minimum SaO2 in NREM (Back position) 2% desaturation or arousal 	 NONE 	 NONE 	 NONE 	 NONE 	 minimum sao2 in non-rapid eye movement  back position  2% desaturation or arousal 	 NULL 	 NULL 	 NULL 	 NULL 	 arousal 	 C0003808 	 menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding
phv00158578.v1 	 phs000228.v3.p1 	 pht002156.v1 	 EMMES_HMP_DSU 	 DSUFSKIN 	 Failed skin scrn 	" Integer, encoded value "	 NONE 	0	9	 failed skin scrn 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00100485.v1 	 phs000287.v2.p1 	 pht001452.v1 	 BASEBOTH 	 KADJ 	 New cohort k44 adjusted for drift (mMol/--incomplete) 	 decimal 	 NONE 	2.6	5.8	 new cohort k44  adjusted for drift m mol/ incomplete 	 NULL 	 NULL 	 NULL 	 NULL 	 nevus;melanocytic nevus;benign melanocytic nevus 	 C0027960;C0027962;C1456781 	 neop;neop;neop 	 study subject 	 C0681850 	 grup	Medical History
phv00169388.v1 	 phs000179.v2.p2 	 pht002239.v2 	 COPDGene_Subject_Phenotypes 	 Duration_Smoking 	 Duration of smoking [yrs] 	 numeric 	 Years 	 NONE 	 NONE 	 duration of smoking  years 	 NULL 	 NULL 	 NULL 	 NULL 	 duration;smoking;tobacco smoking behavior 	 C2926735;C0037369;C0453996 	 phsu;inbe;inbe 	 study subject 	 C0681850 	 grup	Smoking History
phv00115012.v2 	 phs000285.v2.p2 	 pht001637.v2 	 B2F32 	 B32DRIVE 	 TIMES DUI PAST 4 WEEKS. Q 4 	 integer 	 Times 	0	99	 times dui past 4 weeks  q 4 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
